Category	GeneSet	N_genes	N_overlap	p	FDR	genes	logP	logFDR
DEG.twoside	Ovary	3602	7	0.0495040683494568	0.165013561164856	ENSG00000151067:ENSG00000123384:ENSG00000137841:ENSG00000101442:ENSG00000124212:ENSG00000239713:ENSG00000132563	1.30535910835703	0.782480363076693
DEG.twoside	Pancreas	5905	5	0.761950792386651	0.879173991215366	ENSG00000188641:ENSG00000123384:ENSG00000137841:ENSG00000124212:ENSG00000138821	0.118073074966172	0.0559251682173274
DEG.twoside	Pituitary	4764	2	0.951247021427897	1	ENSG00000019102:ENSG00000132563	0.0217066900946464	0
DEG.twoside	Prostate	2483	3	0.346015254264438	0.494307506092055	ENSG00000117335:ENSG00000019102:ENSG00000120903	0.460904754684567	0.306002794698824
DEG.twoside	Salivary Gland	2089	5	0.0317302131371756	0.135986627730753	ENSG00000117335:ENSG00000019102:ENSG00000133687:ENSG00000138821:ENSG00000132563	1.49852701066075	0.866503795955343
DEG.twoside	Skin	2967	5	0.130335086662812	0.300773276914181	ENSG00000151067:ENSG00000182600:ENSG00000124212:ENSG00000239713:ENSG00000132563	0.884938654948893	0.521760752536067
DEG.twoside	Small Intestine	3127	4	0.315731409478184	0.473597114217276	ENSG00000019102:ENSG00000133687:ENSG00000137841:ENSG00000132563	0.500682211631636	0.324590952575955
DEG.twoside	Spleen	4302	7	0.119111554486671	0.297778886216679	ENSG00000188641:ENSG00000019102:ENSG00000133687:ENSG00000137841:ENSG00000101442:ENSG00000239713:ENSG00000161896	0.924046107481074	0.526106098809036
DEG.twoside	Stomach	2167	3	0.25658653247211	0.405136630219121	ENSG00000019102:ENSG00000132563:ENSG00000161896	0.59076614229679	0.392398488529956
DEG.twoside	Testis	8098	15	0.00512778560309944	0.0384583920232458	ENSG00000188641:ENSG00000117335:ENSG00000019102:ENSG00000120451:ENSG00000133687:ENSG00000123384:ENSG00000256053:ENSG00000137841:ENSG00000182600:ENSG00000101442:ENSG00000124212:ENSG00000239713:ENSG00000144619:ENSG00000132563:ENSG00000132911	2.29007014131634	1.41500887792464
DEG.twoside	Thyroid	3461	5	0.221140603737822	0.390248124243215	ENSG00000019102:ENSG00000133687:ENSG00000137841:ENSG00000144619:ENSG00000161896	0.655331509070813	0.408659175729425
DEG.twoside	Uterus	2563	5	0.0746142613454819	0.204648054706297	ENSG00000151067:ENSG00000123384:ENSG00000137841:ENSG00000124212:ENSG00000138821	1.12717815601657	0.688992379209945
DEG.twoside	Vagina	1868	1	0.671209068850368	0.805450882620441	ENSG00000132563	0.173142184293384	0.0939609382457592
